datetime,M_1_OPEN,M_1_HIGH,M_1_LOW,M_1_CLOSE,M_15_OPEN,M_15_HIGH,M_15_LOW,M_15_CLOSE
2024-08-13 15:11:00,3.1599,3.19,3.1599,3.18,3.031,3.32,3.01,3.29
2024-08-13 15:12:00,3.1899,3.1899,3.17,3.17,3.031,3.32,3.01,3.29
2024-08-13 15:13:00,3.1799,3.25,3.175,3.24,3.031,3.32,3.01,3.29
2024-08-13 15:14:00,3.2431,3.26,3.21,3.21,3.031,3.32,3.01,3.29
2024-08-13 15:15:00,3.217,3.26,3.2107,3.245,3.29,3.3,3.14,3.21
2024-08-13 15:16:00,3.25,3.2599,3.23,3.2306,3.29,3.3,3.14,3.21
2024-08-13 15:17:00,3.239,3.26,3.2301,3.255,3.29,3.3,3.14,3.21
2024-08-13 15:18:00,3.26,3.29,3.25,3.2645,3.29,3.3,3.14,3.21
2024-08-13 15:19:00,3.2601,3.28,3.25,3.278,3.29,3.3,3.14,3.21
2024-08-13 15:20:00,3.28,3.29,3.25,3.262,3.29,3.3,3.14,3.21
2024-08-13 15:21:00,3.265,3.27,3.16,3.19,3.29,3.3,3.14,3.21
2024-08-13 15:22:00,3.1985,3.24,3.19,3.235,3.29,3.3,3.14,3.21
2024-08-13 15:23:00,3.239,3.24,3.18,3.2,3.29,3.3,3.14,3.21
2024-08-13 15:24:00,3.2,3.21,3.19,3.1901,3.29,3.3,3.14,3.21
2024-08-13 15:25:00,3.1905,3.2,3.18,3.1869,3.29,3.3,3.14,3.21
2024-08-13 15:26:00,3.1801,3.22,3.18,3.21,3.29,3.3,3.14,3.21
2024-08-13 15:27:00,3.2094,3.24,3.19,3.2391,3.29,3.3,3.14,3.21
2024-08-13 15:28:00,3.24,3.24,3.2101,3.225,3.29,3.3,3.14,3.21
2024-08-13 15:29:00,3.222,3.23,3.22,3.2225,3.29,3.3,3.14,3.21
2024-08-13 15:30:00,3.225,3.25,3.22,3.245,3.217,3.29,3.16,3.2225
2024-08-13 15:31:00,3.2491,3.25,3.18,3.19,3.217,3.29,3.16,3.2225
2024-08-13 15:32:00,3.1903,3.2097,3.19,3.195,3.217,3.29,3.16,3.2225
2024-08-13 15:33:00,3.1909,3.1986,3,3.06,3.217,3.29,3.16,3.2225
2024-08-13 15:34:00,3.05,3.0801,3,3.0401,3.217,3.29,3.16,3.2225
2024-08-13 15:35:00,3.0406,3.0499,2.72,2.75,3.217,3.29,3.16,3.2225
2024-08-13 15:36:00,2.75,2.82,2.74,2.788,3.217,3.29,3.16,3.2225
2024-08-13 15:37:00,2.79,2.83,2.78,2.8004,3.217,3.29,3.16,3.2225
2024-08-13 15:38:00,2.805,2.83,2.7898,2.7999,3.217,3.29,3.16,3.2225
2024-08-13 15:39:00,2.795,2.83,2.77,2.8001,3.217,3.29,3.16,3.2225
2024-08-13 15:40:00,2.8193,2.85,2.8,2.81,3.217,3.29,3.16,3.2225
2024-08-13 15:41:00,2.815,2.82,2.77,2.77,3.217,3.29,3.16,3.2225
2024-08-13 15:42:00,2.77,2.78,2.72,2.76,3.217,3.29,3.16,3.2225
2024-08-13 15:43:00,2.7515,2.77,2.7,2.7399,3.217,3.29,3.16,3.2225
2024-08-13 15:44:00,2.7345,2.75,2.7,2.71,3.217,3.29,3.16,3.2225
2024-08-13 15:45:00,2.7001,2.75,2.7001,2.74,3.225,3.25,2.7,2.71
2024-08-13 15:46:00,2.7301,2.74,2.7101,2.7268,3.225,3.25,2.7,2.71
2024-08-13 15:47:00,2.725,2.75,2.711,2.74,3.225,3.25,2.7,2.71
2024-08-13 15:48:00,2.7399,2.75,2.73,2.7401,3.225,3.25,2.7,2.71
2024-08-13 15:49:00,2.7403,2.78,2.72,2.7501,3.225,3.25,2.7,2.71
2024-08-13 15:50:00,2.7583,2.78,2.7583,2.765,3.225,3.25,2.7,2.71
2024-08-13 15:51:00,2.765,2.78,2.66,2.6785,3.225,3.25,2.7,2.71
2024-08-13 15:52:00,2.68,2.7,2.64,2.6599,3.225,3.25,2.7,2.71
2024-08-13 15:53:00,2.66,2.66,2.65,2.6519,3.225,3.25,2.7,2.71
2024-08-13 15:54:00,2.65,2.66,2.6,2.6099,3.225,3.25,2.7,2.71
2024-08-13 15:55:00,2.6085,2.64,2.6,2.6287,3.225,3.25,2.7,2.71
2024-08-13 15:56:00,2.625,2.63,2.59,2.5901,3.225,3.25,2.7,2.71
2024-08-13 15:57:00,2.595,2.62,2.57,2.61,3.225,3.25,2.7,2.71
2024-08-13 15:58:00,2.6099,2.64,2.6,2.64,3.225,3.25,2.7,2.71
2024-08-13 15:59:00,2.64,2.75,2.6301,2.7002,3.225,3.25,2.7,2.71
2024-08-13 16:00:00,2.7,2.7,2.65,2.66,2.7001,2.78,2.57,2.7002
2024-08-13 16:01:00,2.66,2.67,2.65,2.65,2.7001,2.78,2.57,2.7002
2024-08-13 16:02:00,2.65,2.66,2.62,2.6301,2.7001,2.78,2.57,2.7002
2024-08-13 16:03:00,2.64,2.7,2.63,2.7,2.7001,2.78,2.57,2.7002
2024-08-13 16:04:00,2.65,2.7,2.64,2.7,2.7001,2.78,2.57,2.7002
2024-08-13 16:05:00,2.69,2.7,2.67,2.68,2.7001,2.78,2.57,2.7002
2024-08-13 16:06:00,2.67,2.68,2.65,2.66,2.7001,2.78,2.57,2.7002
2024-08-13 16:07:00,2.66,2.7,2.64,2.66,2.7001,2.78,2.57,2.7002
2024-08-13 16:08:00,2.66,2.7,2.66,2.68,2.7001,2.78,2.57,2.7002
2024-08-13 16:09:00,2.68,2.7,2.67,2.68,2.7001,2.78,2.57,2.7002
2024-08-13 16:10:00,2.68,2.69,2.68,2.69,2.7001,2.78,2.57,2.7002
2024-08-13 16:11:00,2.68,2.7198,2.68,2.7198,2.7001,2.78,2.57,2.7002
2024-08-13 16:12:00,2.71,2.75,2.71,2.74,2.7001,2.78,2.57,2.7002
2024-08-13 16:13:00,2.74,2.78,2.74,2.77,2.7001,2.78,2.57,2.7002
2024-08-13 16:14:00,2.77,2.77,2.73,2.74,2.7001,2.78,2.57,2.7002
2024-08-13 16:15:00,2.75,2.77,2.75,2.75,2.7,2.78,2.62,2.74
2024-08-13 16:16:00,2.75,2.76,2.73,2.74,2.7,2.78,2.62,2.74
2024-08-13 16:17:00,2.73,2.73,2.71,2.72,2.7,2.78,2.62,2.74
2024-08-13 16:18:00,2.71,2.71,2.67,2.6895,2.7,2.78,2.62,2.74
2024-08-13 16:19:00,2.69,2.69,2.64,2.66,2.7,2.78,2.62,2.74
2024-08-13 16:20:00,2.68,2.68,2.62,2.63,2.7,2.78,2.62,2.74
2024-08-13 16:21:00,2.63,2.65,2.62,2.65,2.7,2.78,2.62,2.74
2024-08-13 16:22:00,2.64,2.68,2.64,2.68,2.7,2.78,2.62,2.74
2024-08-13 16:23:00,2.68,2.74,2.64,2.69,2.7,2.78,2.62,2.74
2024-08-13 16:24:00,2.6999,2.75,2.6999,2.74,2.7,2.78,2.62,2.74
2024-08-13 16:25:00,2.74,2.74,2.7,2.72,2.7,2.78,2.62,2.74
2024-08-13 16:26:00,2.725,2.74,2.71,2.72,2.7,2.78,2.62,2.74
2024-08-13 16:27:00,2.73,2.75,2.73,2.74,2.7,2.78,2.62,2.74
2024-08-13 16:28:00,2.75,2.76,2.74,2.75,2.7,2.78,2.62,2.74
2024-08-13 16:29:00,2.74,2.74,2.7,2.7,2.7,2.78,2.62,2.74
2024-08-13 16:30:00,2.68,2.681,2.66,2.68,2.75,2.77,2.62,2.7
2024-08-13 16:31:00,2.6805,2.7,2.68,2.7,2.75,2.77,2.62,2.7
2024-08-13 16:32:00,2.7,2.7,2.68,2.7,2.75,2.77,2.62,2.7
2024-08-13 16:33:00,2.68,2.68,2.6608,2.6608,2.75,2.77,2.62,2.7
2024-08-13 16:34:00,2.6605,2.6708,2.66,2.6708,2.75,2.77,2.62,2.7
2024-08-13 16:35:00,2.69,2.69,2.66,2.66,2.75,2.77,2.62,2.7
2024-08-13 16:36:00,2.6609,2.68,2.66,2.66,2.75,2.77,2.62,2.7
2024-08-13 16:37:00,2.66,2.67,2.66,2.67,2.75,2.77,2.62,2.7
2024-08-13 16:38:00,2.68,2.68,2.67,2.68,2.75,2.77,2.62,2.7
2024-08-13 16:39:00,2.69,2.71,2.69,2.69,2.75,2.77,2.62,2.7
2024-08-13 16:40:00,2.69,2.69,2.68,2.69,2.75,2.77,2.62,2.7
2024-08-13 16:41:00,2.7,2.72,2.7,2.72,2.75,2.77,2.62,2.7
2024-08-13 16:42:00,2.72,2.73,2.71,2.7299,2.75,2.77,2.62,2.7
2024-08-13 16:43:00,2.7297,2.73,2.7107,2.72,2.75,2.77,2.62,2.7
2024-08-13 16:44:00,2.7201,2.7299,2.7,2.7,2.75,2.77,2.62,2.7
2024-08-13 16:45:00,2.7,2.73,2.7,2.72,2.68,2.73,2.66,2.7
2024-08-13 16:46:00,2.72,2.74,2.72,2.72,2.68,2.73,2.66,2.7
2024-08-13 16:47:00,2.71,2.72,2.7,2.71,2.68,2.73,2.66,2.7
2024-08-13 16:48:00,2.71,2.73,2.71,2.72,2.68,2.73,2.66,2.7
2024-08-13 16:49:00,2.73,2.73,2.72,2.73,2.68,2.73,2.66,2.7
2024-08-13 16:50:00,2.72,2.73,2.72,2.72,2.68,2.73,2.66,2.7
2024-08-13 16:51:00,2.72,2.7203,2.7199,2.7199,2.68,2.73,2.66,2.7
2024-08-13 16:52:00,2.71,2.73,2.71,2.73,2.68,2.73,2.66,2.7
2024-08-13 16:53:00,2.71,2.71,2.69,2.695,2.68,2.73,2.66,2.7
2024-08-13 16:54:00,2.6901,2.7,2.69,2.69,2.68,2.73,2.66,2.7
2024-08-13 16:55:00,2.69,2.69,2.65,2.65,2.68,2.73,2.66,2.7
2024-08-13 16:56:00,2.65,2.68,2.65,2.67,2.68,2.73,2.66,2.7
2024-08-13 16:57:00,2.67,2.69,2.67,2.68,2.68,2.73,2.66,2.7
2024-08-13 16:58:00,2.68,2.68,2.66,2.66,2.68,2.73,2.66,2.7
2024-08-13 16:59:00,2.66,2.67,2.66,2.665,2.68,2.73,2.66,2.7
2024-08-13 17:00:00,2.6553,2.6697,2.65,2.6504,2.7,2.74,2.65,2.665
2024-08-13 17:01:00,2.67,2.6701,2.66,2.66,2.7,2.74,2.65,2.665
2024-08-13 17:02:00,2.66,2.67,2.65,2.67,2.7,2.74,2.65,2.665
2024-08-13 17:03:00,2.675,2.69,2.67,2.68,2.7,2.74,2.65,2.665
2024-08-13 17:04:00,2.68,2.7,2.68,2.68,2.7,2.74,2.65,2.665
2024-08-13 17:06:00,2.6801,2.697,2.68,2.68,2.7,2.74,2.65,2.665
2024-08-13 17:07:00,2.68,2.69,2.68,2.69,2.7,2.74,2.65,2.665
2024-08-13 17:08:00,2.69,2.7,2.69,2.7,2.7,2.74,2.65,2.665
2024-08-13 17:09:00,2.7,2.71,2.69,2.6902,2.7,2.74,2.65,2.665
2024-08-13 17:10:00,2.69,2.7,2.69,2.7,2.7,2.74,2.65,2.665
2024-08-13 17:11:00,2.7,2.71,2.7,2.71,2.7,2.74,2.65,2.665
2024-08-13 17:12:00,2.7,2.7,2.69,2.69,2.7,2.74,2.65,2.665
2024-08-13 17:13:00,2.69,2.69,2.68,2.68,2.7,2.74,2.65,2.665
2024-08-13 17:14:00,2.68,2.68,2.68,2.68,2.7,2.74,2.65,2.665
2024-08-13 17:15:00,2.68,2.69,2.68,2.68,2.6553,2.71,2.65,2.68
2024-08-13 17:16:00,2.68,2.68,2.68,2.68,2.6553,2.71,2.65,2.68
2024-08-13 17:18:00,2.68,2.69,2.68,2.68,2.6553,2.71,2.65,2.68
2024-08-13 17:19:00,2.69,2.69,2.69,2.69,2.6553,2.71,2.65,2.68
2024-08-13 17:20:00,2.69,2.69,2.68,2.6897,2.6553,2.71,2.65,2.68
2024-08-13 17:21:00,2.68,2.68,2.68,2.68,2.6553,2.71,2.65,2.68
2024-08-13 17:22:00,2.68,2.6899,2.68,2.68,2.6553,2.71,2.65,2.68
2024-08-13 17:23:00,2.6897,2.6897,2.68,2.68,2.6553,2.71,2.65,2.68
2024-08-13 17:24:00,2.68,2.68,2.67,2.67,2.6553,2.71,2.65,2.68
2024-08-13 17:25:00,2.6603,2.68,2.65,2.65,2.6553,2.71,2.65,2.68
2024-08-13 17:26:00,2.66,2.66,2.65,2.65,2.6553,2.71,2.65,2.68
2024-08-13 17:27:00,2.655,2.67,2.655,2.67,2.6553,2.71,2.65,2.68
2024-08-13 17:28:00,2.66,2.67,2.64,2.64,2.6553,2.71,2.65,2.68
2024-08-13 17:29:00,2.64,2.67,2.64,2.67,2.6553,2.71,2.65,2.68
2024-08-13 17:30:00,2.67,2.68,2.65,2.65,2.68,2.69,2.64,2.67
2024-08-13 17:31:00,2.64,2.64,2.63,2.63,2.68,2.69,2.64,2.67
2024-08-13 17:32:00,2.63,2.63,2.6,2.6,2.68,2.69,2.64,2.67
2024-08-13 17:33:00,2.605,2.61,2.54,2.565,2.68,2.69,2.64,2.67
2024-08-13 17:34:00,2.56,2.58,2.55,2.58,2.68,2.69,2.64,2.67
2024-08-13 17:35:00,2.57,2.58,2.54,2.54,2.68,2.69,2.64,2.67
2024-08-13 17:36:00,2.54,2.58,2.54,2.58,2.68,2.69,2.64,2.67
2024-08-13 17:37:00,2.58,2.59,2.56,2.56,2.68,2.69,2.64,2.67
2024-08-13 17:38:00,2.57,2.57,2.55,2.55,2.68,2.69,2.64,2.67
2024-08-13 17:39:00,2.57,2.58,2.56,2.58,2.68,2.69,2.64,2.67
2024-08-13 17:40:00,2.58,2.58,2.5706,2.5706,2.68,2.69,2.64,2.67
2024-08-13 17:41:00,2.59,2.59,2.56,2.56,2.68,2.69,2.64,2.67
2024-08-13 17:42:00,2.56,2.56,2.56,2.56,2.68,2.69,2.64,2.67
2024-08-13 17:43:00,2.56,2.5798,2.56,2.5698,2.68,2.69,2.64,2.67
2024-08-13 17:44:00,2.56,2.57,2.55,2.55,2.68,2.69,2.64,2.67
2024-08-13 17:45:00,2.55,2.55,2.55,2.55,2.67,2.68,2.54,2.55
2024-08-13 17:46:00,2.55,2.55,2.53,2.53,2.67,2.68,2.54,2.55
2024-08-13 17:47:00,2.54,2.56,2.53,2.56,2.67,2.68,2.54,2.55
2024-08-13 17:48:00,2.55,2.56,2.53,2.54,2.67,2.68,2.54,2.55
2024-08-13 17:49:00,2.54,2.54,2.54,2.54,2.67,2.68,2.54,2.55
2024-08-13 17:50:00,2.5401,2.5401,2.54,2.54,2.67,2.68,2.54,2.55
2024-08-13 17:51:00,2.55,2.55,2.54,2.55,2.67,2.68,2.54,2.55
2024-08-13 17:52:00,2.5497,2.5499,2.54,2.54,2.67,2.68,2.54,2.55
2024-08-13 17:53:00,2.54,2.5499,2.53,2.5399,2.67,2.68,2.54,2.55
2024-08-13 17:54:00,2.5397,2.54,2.53,2.54,2.67,2.68,2.54,2.55
2024-08-13 17:55:00,2.54,2.55,2.54,2.54,2.67,2.68,2.54,2.55
2024-08-13 17:56:00,2.54,2.55,2.54,2.55,2.67,2.68,2.54,2.55
2024-08-13 17:57:00,2.545,2.5499,2.54,2.54,2.67,2.68,2.54,2.55
2024-08-13 17:58:00,2.54,2.54,2.51,2.53,2.67,2.68,2.54,2.55
2024-08-13 17:59:00,2.52,2.54,2.52,2.54,2.67,2.68,2.54,2.55
2024-08-13 18:00:00,2.54,2.54,2.52,2.52,2.55,2.56,2.51,2.54
2024-08-13 18:01:00,2.53,2.53,2.5299,2.53,2.55,2.56,2.51,2.54
2024-08-13 18:02:00,2.53,2.54,2.53,2.53,2.55,2.56,2.51,2.54
2024-08-13 18:03:00,2.53,2.53,2.52,2.52,2.55,2.56,2.51,2.54
2024-08-13 18:04:00,2.539,2.56,2.539,2.56,2.55,2.56,2.51,2.54
2024-08-13 18:05:00,2.56,2.6,2.56,2.6,2.55,2.56,2.51,2.54
2024-08-13 18:06:00,2.6,2.61,2.58,2.6,2.55,2.56,2.51,2.54
2024-08-13 18:07:00,2.59,2.64,2.59,2.61,2.55,2.56,2.51,2.54
2024-08-13 18:08:00,2.61,2.61,2.6,2.61,2.55,2.56,2.51,2.54
2024-08-13 18:09:00,2.6099,2.6099,2.59,2.59,2.55,2.56,2.51,2.54
2024-08-13 18:10:00,2.6,2.61,2.6,2.61,2.55,2.56,2.51,2.54
2024-08-13 18:11:00,2.5805,2.6,2.5805,2.6,2.55,2.56,2.51,2.54
2024-08-13 18:12:00,2.6,2.6,2.56,2.6,2.55,2.56,2.51,2.54
2024-08-13 18:13:00,2.6,2.6,2.58,2.58,2.55,2.56,2.51,2.54
2024-08-13 18:14:00,2.59,2.59,2.59,2.59,2.55,2.56,2.51,2.54
2024-08-13 18:15:00,2.59,2.59,2.58,2.59,2.54,2.64,2.52,2.59
2024-08-13 18:16:00,2.58,2.59,2.58,2.58,2.54,2.64,2.52,2.59
2024-08-13 18:17:00,2.5803,2.59,2.58,2.58,2.54,2.64,2.52,2.59
2024-08-13 18:18:00,2.58,2.58,2.58,2.58,2.54,2.64,2.52,2.59
2024-08-13 18:19:00,2.59,2.59,2.58,2.58,2.54,2.64,2.52,2.59
2024-08-13 18:20:00,2.5802,2.59,2.58,2.58,2.54,2.64,2.52,2.59
2024-08-13 18:21:00,2.58,2.58,2.57,2.57,2.54,2.64,2.52,2.59
2024-08-13 18:22:00,2.57,2.57,2.56,2.56,2.54,2.64,2.52,2.59
2024-08-13 18:23:00,2.56,2.56,2.56,2.56,2.54,2.64,2.52,2.59
2024-08-13 18:24:00,2.56,2.56,2.56,2.56,2.54,2.64,2.52,2.59
2024-08-13 18:25:00,2.57,2.57,2.56,2.56,2.54,2.64,2.52,2.59
2024-08-13 18:26:00,2.56,2.57,2.56,2.57,2.54,2.64,2.52,2.59
2024-08-13 18:27:00,2.575,2.575,2.575,2.575,2.54,2.64,2.52,2.59
2024-08-13 18:28:00,2.58,2.58,2.57,2.58,2.54,2.64,2.52,2.59
2024-08-13 18:29:00,2.5799,2.58,2.57,2.57,2.54,2.64,2.52,2.59
2024-08-13 18:30:00,2.57,2.57,2.57,2.57,2.59,2.59,2.56,2.57
2024-08-13 18:31:00,2.57,2.57,2.56,2.57,2.59,2.59,2.56,2.57
